a অ
Koo খূ
goo গূ
ghoo ঘূ
Goo ঘূ
~goo ঙূ
coo চূ
choo চূ
Coo ছূ
Choo ছূ
joo জূ
Joo ঝূ
jhoo ঝূ
~joo ঞূ
Too টূ
Thoo ঠূ
Doo ডূ
Dhoo ঢূ
Noo ণূ
too তূ
thoo থূ
doo দূ
dhoo ধূ
noo নূ
poo পূ
Poo ফূ
phoo ফূ
boo বূ
voo বূ
Boo ভূ
bhoo ভূ
moo মূ
Yoo যূ
roo ৰূ
loo লূ
Loo লূ
Woo ৱূ
soo সূ
shoo শূ
Soo শূ
Shoo ষূ
hoo হূ
~hoo হূ
yoo য়ূ
Yxoo য়ূ
Dxoo ড়ূ
Dhxoo ঢ়ূ
Qoo ক্ষূ
Roo রূ
kX কৃ
khX খৃ
KX খৃ
gX গৃ
ghX ঘৃ
GX ঘৃ
~gX ঙৃ
cX চৃ
chX চৃ
CX ছৃ
ChX ছৃ
jX জৃ
JX ঝৃ
jhX ঝৃ
~jX ঞৃ
TX টৃ
ThX ঠৃ
DX ডৃ
DhX ঢৃ
NX ণৃ
tX তৃ
thX থৃ
dX দৃ
dhX ধৃ
nX নৃ
pX পৃ
PX ফৃ
phX ফৃ
bX বৃ
vX বৃ
BX ভৃ
bhX ভৃ
mX মৃ
YX যৃ
rX ৰৃ
lX লৃ
LX লৃ
WX ৱৃ
sX সৃ
shX শৃ
SX শৃ
ShX ষৃ
hX হৃ
~hX হৃ
yX য়ৃ
YxX য়ৃ
DxX ড়ৃ
DhxX ঢ়ৃ
QX ক্ষৃ
RX রৃ
kRU ক
khRU খ
KRU খ
gRU গ
ghRU ঘ
GRU ঘ
~gRU ঙ
cRU চ
chRU চ
CRU ছ
ChRU ছ
jRU জ
JRU ঝ
jhRU ঝ
~jRU ঞ
TRU ট
ThRU ঠ
DRU ড
DhRU ঢ
NRU ণ
tRU ত
thRU থ
dRU দ
dhRU ধ
nRU ন
pRU প
PRU ফ
phRU ফ
bRU ব
vRU ব
BRU ভ
bhRU ভ
mRU ম
YRU য
rRU ৰ
lRU ল
LRU ল
WRU ৱ
sRU স
shRU শ
SRU শ
ShRU ষ
hRU হ
~hRU হ
yRU য়
YxRU য়
DxRU ড়
DhxRU ঢ়
QRU ক্ষ
RRU র
ke কে
khe খে
Ke খে
ge গে
ghe ঘে
Ge ঘে
~ge ঙে
ce চে
che চে
Ce ছে
Che ছে
je জে
Je ঝে
jhe ঝে
~je ঞে
Te টে
The ঠে
De ডে
Dhe ঢে
Ne ণে
te তে
the থে
de দে
dhe ধে
ne নে
pe পে
Pe ফে
phe ফে
be বে
ve বে
Be ভে
bhe ভে
me মে
Ye যে
re ৰে
le লে
Le লে
We ৱে
se সে
she শে
Se শে
She ষে
he হে
~he হে
ye য়ে
Yxe য়ে
Dxe ড়ে
Dhxe ঢ়ে
Qe ক্ষে
Re রে
kE কে
khE খে
KE খে
gE গে
ghE ঘে
GE ঘে
~gE ঙে
cE চে
chE চে
CE ছে
ChE ছে
jE জে
JE ঝে
jhE ঝে
~jE ঞে
TE টে
ThE ঠে
DE ডে
DhE ঢে
NE ণে
tE তে
thE থে
dE দে
dhE ধে
nE নে
pE পে
PE ফে
phE ফে
bE বে
vE বে
BE ভে
bhE ভে
mE মে
YE যে
rE ৰে
lE লে
LE লে
WE ৱে
sE সে
shE শে
SE শে
ShE ষে
hE হে
~hE হে
yE য়ে
YxE য়ে
DxE ড়ে
DhxE ঢ়ে
QE ক্ষে
RE রে
koi কৈ
khoi খৈ
Koi খৈ
goi গৈ
ghoi ঘৈ
Goi ঘৈ
~goi ঙৈ
coi চৈ
choi চৈ
Coi ছৈ
Choi ছৈ
joi জৈ
Joi ঝৈ
jhoi ঝৈ
~joi ঞৈ
Toi টৈ
Thoi ঠৈ
Doi ডৈ
Dhoi ঢৈ
Noi ণৈ
toi তৈ
thoi থৈ
doi দৈ
dhoi ধৈ
noi নৈ
poi পৈ
Poi ফৈ
phoi ফৈ
boi বৈ
voi বৈ
Boi ভৈ
bhoi ভৈ
moi মৈ
Yoi যৈ
roi ৰৈ
loi লৈ
Loi লৈ
Woi ৱৈ
soi সৈ
shoi শৈ
Soi শৈ
Shoi ষৈ
hoi হৈ
~hoi হৈ
yoi য়ৈ
Yxoi য়ৈ
Dxoi ড়ৈ
Dhxoi ঢ়ৈ
Qoi ক্ষৈ
Roi রৈ
ko কো
kho খো
Ko খো
go গো
gho ঘো
Go ঘো
~go ঙো
co চো
cho চো
Co ছো
Cho ছো
jo জো
Jo ঝো
jho ঝো
~jo ঞো
To টো
Tho ঠো
Do ডো
Dho ঢো
No ণো
to তো
tho থো
do দো
dho ধো
no নো
po পো
Po ফো
pho ফো
bo বো
vo বো
Bo ভো
bho ভো
mo মো
Yo যো
ro ৰো
lo লো
Lo লো
Wo ৱো
so সো
sho শো
So শো
Sho ষো
ho হো
~ho হো
yo য়ো
Yxo য়ো
Dxo ড়ো
Dhxo ঢ়ো
Qo ক্ষো
Ro রো
kO কো
khO খো
KO খো
gO গো
ghO ঘো
GO ঘো
~gO ঙো
cO চো
chO চো
CO ছো
ChO ছো
jO জো
JO ঝো
jhO ঝো
~jO ঞো
TO টো
ThO ঠো
DO ডো
DhO ঢো
NO ণো
tO তো
thO থো
dO দো
dhO ধো
nO নো
pO পো
PO ফো
phO ফো
bO বো
vO বো
BO ভো
